電車,私は電車に乗ります。
自転車,私は自転車に乗っています。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車を乗っています。
猫,猫がいる。
電車,私は電車に乗りました。
自転車,私は自転車に乗っています。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車に乗っています。
猫,私は猫が好きです。
電車,私は電車に乗ります。
自転車,私は自転車を持っています。
猫,猫がいます。
電車,私は電車に乗りました。
自転車,私は自転車を持っています。
猫,私は猫が好きです。
電車,私は電車に乗っています。
自転車,私は自転車を持っています。
猫,私は猫が好きです。
電車,私は電車に乗ります。
自転車,私は自転車を乗ります。
猫,私は猫が好きです。
電車,私は電車に乗ります。
自転車,私は自転車を持っています。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車を漕ぐ。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車を持っています。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車を持っています。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車に乗っています。
猫,猫がいます。
電車,私は電車に乗りました。
自転車,私は自転車を持っています。
猫,私は猫が好きです。
電車,私は電車に乗ります。
自転車,私は自転車で行きます。
猫,私は猫が好きです。
電車,私は電車に乗りました。
自転車,私は自転車を漕いでいます。
猫,私は猫が好きです。
電車,私は電車に乗ります。
自転車,私は自転車があります。
猫,猫がいます。
電車,私は電車に乗ります。
自転車,私は自転車に乗りました。
猫,猫がいます。
apple,りんごを食べます。
apple,リンゴがあります。
apple,リンゴがあります。
apple,リンゴが好きです。
apple,私はリンゴが好きです。
